Entity,Year,access_clean_perc,GDP,popn,Death_Rate_ASP
113,2005.0,-0.03589186479618658,-0.20874131300712495,-0.14399719048021845,26.74228574
113,2006.0,-0.013917413962672116,-0.14712517300915162,-0.1439942790442332,26.09994059
113,2007.0,0.01904426228759939,-0.0943298918200411,-0.14399094125558848,25.56635663
113,2008.0,0.037356304648861444,-0.0348903946905667,-0.14398747121866506,24.89167208
113,2009.0,0.06979477968881109,-0.08914089434906754,-0.14398427159986368,24.23029273
113,2010.0,0.09307723354812991,-0.06748768248661281,-0.14398161479116123,23.44635334
113,2011.0,0.10694206562165687,-0.04027985365851461,-0.14397965672709526,22.86002625
113,2012.0,0.1357181321893545,-0.06550916294553721,-0.1439783539828578,22.27246573
113,2013.0,0.15115256789384643,-0.035373476645118064,-0.14397754272849173,22.02460623
113,2014.0,0.177835829620257,-0.020138784680722284,-0.14397693478118093,21.90886785
113,2015.0,0.1917006616937836,0.010498372666566185,-0.143976328807725,21.5750375
113,2016.0,0.2121055088963327,0.0382913810921453,-0.14397570901728476,20.88703522
114,2000.0,0.7444627403987347,-0.7121651319311111,-0.08837932024064625,45.0208125
114,2001.0,0.7700995997045016,-0.6984641718808762,-0.08772271543256524,41.35279874
114,2002.0,0.7912892487225329,-0.693899361593772,-0.08707441857978036,38.38119044
114,2003.0,0.809601291083795,-0.6823286894074256,-0.08642675928212988,36.42469756
114,2004.0,0.8328837449431138,-0.6731509158048313,-0.08577082361086176,33.88187645
114,2005.0,0.8470101776218018,-0.6675987807320419,-0.08509898853833196,31.50912811
114,2006.0,0.8569510006179153,-0.6504078286527137,-0.08440986447068723,29.11373322
114,2007.0,0.8700310308759596,-0.6436883457080654,-0.08370128806295142,26.72723246
114,2008.0,0.8797102532669124,-0.6298814600230115,-0.08296476976517711,24.16858459
114,2009.0,0.8888662744475433,-0.6207026843105974,-0.0821904659629519,21.71097618
114,2010.0,0.8990686980488178,-0.6127778566523637,-0.08137270379727816,19.44038028
114,2011.0,0.9045623107571963,-0.6002464355391229,-0.08050721579385077,17.34122266
114,2012.0,0.9124103289120231,-0.5948840056551337,-0.07959916753095672,15.49751191
114,2013.0,0.9163343379894362,-0.5843370371036763,-0.0786639412598725,14.64672947
114,2014.0,0.9205199476720106,-0.5799699405611914,-0.077723097397728,12.8656038
114,2015.0,0.9249671579597454,-0.568812654046578,-0.07679291827363645,11.2131677
114,2016.0,0.9288911670371588,-0.5698753293240254,-0.07587968272005145,9.673247193
115,2000.0,-1.5217833021100156,-0.9067142526170234,-0.11025308091515867,220.3697528
115,2001.0,-1.5215217015048548,-0.9037779999924441,-0.10924649584154043,213.7523918
115,2002.0,-1.5202136984790502,-0.9015859698772113,-0.10817614735906353,212.0477843
115,2003.0,-1.5212601008996938,-0.9001656785424287,-0.1070570703205411,208.6558975
115,2004.0,-1.520736899689372,-0.8982861443611515,-0.10591331614799343,208.5463988
115,2005.0,-1.518120893637763,-0.8967974903272667,-0.10476181262108782,209.2650913
115,2006.0,-1.5170744912171197,-0.8939588753145078,-0.10360477637888282,211.8083042
115,2007.0,-1.5170744912171197,-0.891780468930391,-0.10243386393669404,211.3976065
115,2008.0,-1.5157664881913153,-0.88967439021915,-0.10124308267102917,212.6837185
115,2009.0,-1.5162896894016369,-0.8879557752280687,-0.10002299952929611,212.4346338
115,2010.0,-1.5131504821397064,-0.8860890866538071,-0.09876595200675273,213.293015
115,2011.0,-1.511580878508741,-0.8836822931528846,-0.09747123543719786,212.9490182
115,2012.0,-1.5110576772984192,-0.8812556764476417,-0.0961385418992663,212.5432488
115,2013.0,-1.508964872457132,-0.878900355603679,-0.09476063524087543,209.8709541
115,2014.0,-1.508964872457132,-0.8762120763986558,-0.09332872193842245,205.8457504
115,2015.0,-1.507395268826167,-0.8738440354441813,-0.09183686463635243,202.1167514
115,2016.0,-1.5055640645900408,-0.8732629779433873,-0.0902816071147263,196.7835778
116,2000.0,-1.4786192022584694,-0.8826258216452556,-0.05299594588919358,271.0426257
116,2001.0,-1.4665855744210687,-0.8768495687816042,-0.0519983181691353,262.1821245
116,2002.0,-1.451935940532059,-0.8700150619916845,-0.05105670252972284,251.8988801
116,2003.0,-1.4391175108791756,-0.8611267768230927,-0.05017489469393897,241.1083395
116,2004.0,-1.4268222824366141,-0.8512546408842028,-0.049354596124712005,231.1227994
116,2005.0,-1.4069406364443868,-0.8400670908090824,-0.04859378954232879,219.5717236
116,2006.0,-1.3935990055811818,-0.8278632521395511,-0.04790073355571283,208.888141
116,2007.0,-1.372670957168311,-0.8152813153803272,-0.04726825122842869,196.7495464
116,2008.0,-1.3580213232793013,-0.8033855433713651,-0.04665998217926706,186.0556354
116,2009.0,-1.3342156682096606,-0.7899837427781122,-0.046026919538640784,176.9236872
116,2010.0,-1.310671613745181,-0.7767120962498707,-0.045335160374697564,167.8770924
116,2011.0,-1.2847731538342533,-0.7689227804720415,-0.044565781340460915,160.9673009
116,2012.0,-1.255735486661395,-0.7579201606221593,-0.043730661094750545,154.2110975
116,2013.0,-1.2240818134369278,-0.7442845658573014,-0.04286461054267516,149.2399682
116,2014.0,-1.1981833535260002,-0.7304108033733929,-0.04201910584630836,144.1625392
116,2015.0,-1.1581584609363849,-0.7174864216308199,-0.04122974547886603,139.6932915
116,2016.0,-1.1207495743983782,-0.7063325922260292,-0.04051032471228086,135.2254685
117,2000.0,-0.7516311205163689,-0.5855519632147435,-0.14167160450014624,141.1687824
117,2001.0,-0.7330574775499461,-0.5870940174519923,-0.14161419690408242,136.9956599
117,2002.0,-0.7189310448712584,-0.5757728188537455,-0.14155922109726182,135.7407176
117,2003.0,-0.6959101916171003,-0.5659185902246063,-0.1415047545450068,131.6432565
117,2004.0,-0.683091761964217,-0.526372579151091,-0.1414482549221994,126.2508691
117,2005.0,-0.6637333171823115,-0.522605676011512,-0.14138789641305224,120.1144177
117,2006.0,-0.6467292778468539,-0.5005897908520559,-0.1413227552534697,112.8093639
117,2007.0,-0.6260628300391439,-0.4851148631759806,-0.14125327950851527,106.0111271
117,2008.0,-0.6153372052275476,-0.4814894287613552,-0.14118051137357893,99.77449985
117,2009.0,-0.5991179677075726,-0.488446540423655,-0.14110618191941252,94.48853697
117,2010.0,-0.5849915350288849,-0.46974656846352425,-0.14103149519750827,89.80224554
117,2011.0,-0.566417892062462,-0.45448639534063157,-0.14095684203113742,83.7989341
117,2012.0,-0.552814660594096,-0.4387766885487811,-0.140881679610201,79.05031108
117,2013.0,-0.5418274351773388,-0.4198317078900594,-0.1408052341835762,74.99948446
117,2014.0,-0.522992191605755,-0.3978509172250936,-0.14072643789575925,71.44144899
117,2015.0,-0.5211609873696289,-0.3848718285570808,-0.14064457226356467,68.35055774
117,2016.0,-0.4981401341154709,-0.3948357412140217,-0.14055941424138815,65.4694327
118,2000.0,0.3311337842445358,0.0,-0.14519345116710022,48.28178993
118,2001.0,0.39365632887798746,0.0,-0.14519368013426923,46.82840409
118,2002.0,0.45382446806499105,0.0,-0.14519391107529314,45.00034431
118,2003.0,0.501435778204272,0.0,-0.14519413214704255,43.04098129
118,2004.0,0.5459078810816226,-0.6494994477014513,-0.1451942979508546,40.99612958
118,2005.0,0.5875023773022034,-0.6477913565852448,-0.1451944124344391,38.79602463
118,2006.0,0.6285736723124623,-0.6294495383105964,-0.1451944538853921,36.34691815
118,2007.0,0.6531641291975855,-0.7007847227651612,-0.1451944163821489,33.92631094
118,2008.0,0.6842946012117311,-0.6487362316556495,-0.1451943492710821,31.23550807
118,2009.0,0.7033914453884755,-0.6243745396355245,-0.14519422097051327,28.57835618
118,2010.0,0.7248426950116683,-0.5915972370760436,-0.14519409464379934,25.8362546
118,2011.0,0.7371379234542299,-0.5590853718467358,-0.14519397621250502,23.1483281
118,2012.0,0.7517875573432395,-0.5186544756950472,-0.14519384396422638,20.587222
118,2013.0,0.7664371912322492,-0.39369484295540286,-0.14519370184667318,18.06216675
118,2014.0,0.7753316118077189,-0.2541480345934509,-0.14519354196442588,15.73943031
118,2015.0,0.7826564287522237,-0.2345874673135238,-0.14519337418675893,13.86471477
118,2016.0,0.7871036390399588,-0.21638194289264726,-0.1451931768012684,12.36522973
119,2000.0,-1.2117865849943663,-0.8314480575941531,-0.09795759525970243,216.6034838
119,2001.0,-1.1979217529208392,-0.8281493930117859,-0.09715618253420874,208.6433999
119,2002.0,-1.1788249087440947,-0.8297225747618907,-0.0964090547663188,201.3365871
119,2003.0,-1.1584200615415456,-0.8270075525670697,-0.09570783294195989,194.9808404
119,2004.0,-1.1398464185751227,-0.8233072372192256,-0.0950397679322991,189.9780004
119,2005.0,-1.1278127907377222,-0.8207828315011327,-0.09439794334974848,185.8943805
119,2006.0,-1.1045303368784034,-0.8183047343363619,-0.09376199295939584,181.5564893
119,2007.0,-1.084648690886176,-0.8156702882731941,-0.09313845416868732,176.6677493
